Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
12/1/2023,19.89,20.444,21.3741,20.4524,9
11/30/2023,20.3,20.49,19.9467,20.3568,380
11/29/2023,20.28,20.529,19.972,20.4898,7
11/28/2023,20.38,20.612,20.1599,20.5053,31
11/27/2023,21.53,20.754,20.35,20.5487,328
11/24/2023,20.77,20.932,20.4659,20.5716,34
11/22/2023,19.25,21.032,18.6857,20.5716,23
11/21/2023,18.52,21.254,19.0667,20.7241,34
11/20/2023,18.89,21.3585,19.0087,20.7471,52
11/17/2023,21.64,21.4535,18.7054,20.7692,87
11/16/2023,22.05,21.553,18.1762,20.7318,325
11/15/2023,20.45,21.7205,18.3075,20.7833,347
11/14/2023,20.39,21.927,18.3045,20.9019,1018
11/13/2023,20.28,22.053,17.5894,20.862,42
11/10/2023,20.24,22.1655,19.0252,20.9356,14
11/9/2023,21.74,22.424,19.1309,20.9696,49
11/8/2023,21.88,22.4615,19.1304,20.9594,49
11/7/2023,20.92,22.472,17.7932,21.0359,63
11/6/2023,19.44,22.5015,18.8735,21.0649,2
11/3/2023,20.04,22.6635,18.6117,21.0689,32
11/2/2023,20.81,22.717,19.0534,21.1138,4
11/1/2023,21.08,22.739,20.4411,21.1023,23
10/31/2023,21.94,22.736,20.3282,21.1323,
10/30/2023,23.22,22.5965,20.244,21.1,4
10/27/2023,25.09,22.3715,20.7949,21.156,11
10/26/2023,22.77,22.039,20.5885,21.1432,10
10/25/2023,23.69,21.8235,20.5887,21.1415,30
10/24/2023,20.61,21.579,20.2882,21.1429,13
10/23/2023,20.79,21.4415,20.0639,21.1933,109
10/20/2023,23.63,21.241,20.3529,21.2049,226
10/19/2023,25.4,20.9285,19.9186,21.1715,9
10/18/2023,24.58,20.549,19.9463,21.1753,24
10/17/2023,22.91,20.2025,19.8431,21.2367,50
10/16/2023,22.53,19.866,19.9484,21.3498,84
10/13/2023,25.41,19.502,18.683,21.2377,108
10/12/2023,22.49,18.975,18.6252,21.2471,197
10/11/2023,22.09,18.677,18.3235,21.2978,279
10/10/2023,21.51,18.371,18.3027,21.3361,122
10/9/2023,22.68,18.0795,17.358,21.2723,52
10/6/2023,21.11,17.768,17.2127,21.301,51
10/5/2023,21.25,17.5365,16.363,21.3651,8
10/4/2023,21.02,17.3235,14.0692,21.395,52
10/3/2023,19.15,17.1465,14.3581,21.4174,30
10/2/2023,18.72,17.05,14.2831,21.3993,12
9/29/2023,18.44,16.944,13.1216,21.4905,48
9/28/2023,18.46,16.835,13.258,21.5526,40
9/27/2023,18.8,16.787,13.0063,21.6348,25
9/26/2023,17.86,16.7125,13.0096,21.8212,10
9/25/2023,16.78,16.6975,13.6061,21.884,11
9/22/2023,17.38,16.7675,13.2324,21.9165,16
9/21/2023,17.81,16.781,13.3371,21.9092,238
9/20/2023,17.65,16.801,13.0596,22.0417,21
9/19/2023,16.18,16.825,13.4011,22.0433,24
9/18/2023,15.25,16.9415,13.4337,22.1902,36
9/15/2023,14.87,17.082,13.9846,22.1832,468
9/14/2023,16.53,17.22,14.2926,22.2135,62
9/13/2023,15.97,17.3135,14.758,22.2478,175
9/12/2023,15.68,17.391,14.8656,22.3431,24
9/11/2023,16.45,17.517,14.6368,22.3476,306
9/8/2023,16.48,17.489,14.7697,22.4359,79
9/7/2023,16.99,17.5175,15.2029,22.4508,41
9/6/2023,17.48,17.498,16.4236,22.5138,103
9/5/2023,17.22,17.487,16.1619,22.5595,194
9/1/2023,16.6,17.454,15.8145,22.6041,489
8/31/2023,16.26,17.4505,16.2172,22.7238,280
8/30/2023,17.5,17.5155,16.7094,22.7679,8
8/29/2023,17.31,17.518,16.7587,22.7732,10
8/28/2023,17.56,17.488,16.7385,22.8174,5
8/25/2023,18.18,17.392,16.3626,22.7984,8
8/24/2023,17.65,17.336,16.162,22.8182,54
8/23/2023,18.21,17.3155,15.7102,22.8458,48
8/22/2023,18.13,17.3015,15.8721,22.8678,4
8/21/2023,18.51,17.298,16.2445,22.8742,66
8/18/2023,18.06,17.2385,16.1236,22.8794,166
8/17/2023,17.63,17.207,15.8922,22.868,54
8/16/2023,18.4,17.2005,15.8175,23.0261,28
8/15/2023,17.52,17.2,15.8422,23.0205,24
8/14/2023,18.2,17.2405,15.9491,23.0705,60
8/11/2023,15.89,17.2455,15.935,23.1129,23
8/10/2023,17.05,17.3685,16.2824,23.1521,79
8/9/2023,16.6,17.3975,16.2652,23.1533,109
8/8/2023,17.26,17.4405,15.1932,23.1908,73
8/7/2023,16.56,17.5015,15.2468,23.2154,88
8/4/2023,16.53,17.588,15.7727,23.2812,137
8/3/2023,17.56,17.653,15.854,23.2652,19
8/2/2023,17.55,17.7625,16.0444,23.4302,101
8/1/2023,16.71,17.8625,15.9432,23.5152,282
7/31/2023,15.64,18.0065,16.1386,23.5345,59
7/28/2023,17.06,18.257,16.0594,23.5818,10
7/27/2023,17.24,18.44,16.4552,23.6702,79
7/26/2023,17.93,18.661,17.1268,23.703,111
7/25/2023,18.06,18.8365,17.025,23.7077,79
7/24/2023,17.32,18.962,18.0346,23.8593,234
7/21/2023,17.43,19.146,19.2315,23.8689,316
7/20/2023,17.5,19.3115,19.5965,23.912,240
7/19/2023,18.39,19.41,19.5023,24.0776,546
7/18/2023,18.33,19.4935,19.4842,24.0817,139
7/17/2023,18.3,19.591,20.4088,24.2568,73
7/14/2023,18.35,19.7185,20.7831,24.2878,40
7/13/2023,17.63,19.8425,21.5885,24.4722,186
7/12/2023,17.46,19.978,22.0897,24.476,79
7/11/2023,18.48,20.235,21.9027,24.4919,44
7/10/2023,18.29,20.3505,22.6662,24.7075,32
7/7/2023,17.83,20.4475,22.3615,24.722,50
7/6/2023,19.75,20.568,22.1368,24.9258,5
7/5/2023,19.55,20.618,21.9005,24.9551,5
7/3/2023,19.59,20.725,22.535,25.0519,4
6/30/2023,20.65,20.852,22.8626,25.2125,2
6/29/2023,20.72,21.0495,22.9232,25.2184,20
6/28/2023,21.66,21.2045,23.8038,25.2178,65
6/27/2023,21.44,21.2475,23.5426,25.2041,10
6/26/2023,20.57,21.24,23.9905,25.325,54
6/23/2023,21,21.2725,23.0692,25.475,30
6/22/2023,20.74,21.2225,22.0839,25.4356,97
6/21/2023,19.47,21.198,21.4692,25.5447,29
6/20/2023,20.06,21.2485,21.5263,25.5568,54
6/16/2023,20.28,21.244,21.4874,25.5554,128
6/15/2023,20.85,21.2595,20.884,25.5588,123
6/14/2023,20.83,21.2275,20.5474,25.5895,42
6/13/2023,20.34,21.246,19.6734,25.5254,338
6/12/2023,22.6,21.2485,18.9333,25.4917,902
6/9/2023,20.79,21.1825,19.5078,25.4963,39
6/8/2023,20.23,21.1875,18.6184,25.4569,
6/7/2023,20.24,21.1385,19.0441,25.4534,46
6/6/2023,20.75,21.0995,19.9309,25.4754,9
6/5/2023,21.69,21.062,20.9341,25.4851,7
6/2/2023,22.13,21.042,20.5278,25.4885,34
6/1/2023,24.6,21.154,20.9417,25.6427,8
5/31/2023,23.82,21.171,22.2561,25.6616,18
5/30/2023,22.52,21.0795,21.2208,25.5927,4
5/26/2023,21.29,20.96,21.3868,25.5788,11
5/25/2023,21.22,20.8825,20.8576,25.5485,4
5/24/2023,20,20.905,21.2054,25.5377,39
5/23/2023,20.25,21.017,21.5572,25.5386,4
5/22/2023,20.48,20.9945,21.6679,25.6323,23
5/19/2023,19.97,20.946,21.5072,25.7459,38
5/18/2023,20.59,20.9805,21.8335,25.7595,2
5/17/2023,20.21,21.0585,21.8296,25.8003,30
5/16/2023,21.2,21.0485,21.8366,25.8213,
5/15/2023,20.39,21.0205,21.5341,25.8168,66
5/12/2023,21.28,20.972,21.4365,25.9781,1
5/11/2023,20.89,20.855,20.9404,25.9958,7
5/10/2023,19.25,20.758,20.9393,26.2486,
5/9/2023,19.46,20.7575,20.5527,26.2382,3
5/8/2023,20,20.781,19.4931,26.2285,13
5/5/2023,21.29,20.8205,17.9679,26.3149,15
5/4/2023,24.37,20.8525,17.6078,26.3374,52
