Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
12/1/2023,15.02,15.7985,14.5423,19.7775,3210496
11/30/2023,14.99,15.9505,15.1274,19.7775,3857053
11/29/2023,14.79,16.17,14.9468,19.7865,3699101
11/28/2023,14.34,16.4815,15.1918,19.7887,3274355
11/27/2023,14.39,16.87,15.702,19.8024,2875740
11/24/2023,14.46,17.335,16.5511,19.8324,1296059
11/22/2023,14.83,17.827,17.5885,19.8298,3429615
11/21/2023,15.71,18.244,17.6589,19.8837,2891671
11/20/2023,15.36,18.505,17.9111,19.9499,3195117
11/17/2023,15.93,18.851,18.3988,19.9658,2836243
11/16/2023,15.96,19.2215,18.9408,20.1453,3140346
11/15/2023,15.94,19.529,19.1029,20.1536,3836372
11/14/2023,15.9,19.789,18.7303,20.1545,4039997
11/13/2023,16.88,19.9635,18.829,20.3399,3218348
11/10/2023,16.56,20.057,18.3611,20.3296,4604476
11/9/2023,17.56,20.2585,18.3093,20.3692,4398307
11/8/2023,16.58,20.3085,18.2818,20.3769,3324016
11/7/2023,16.69,20.3965,18.3125,20.5372,3975106
11/6/2023,16.76,20.5095,18.7769,20.5809,3231769
11/3/2023,17.32,20.6525,20.3685,20.7756,3879044
11/2/2023,18.06,20.786,20.029,20.9046,3976634
11/1/2023,19.38,20.943,19.7487,20.877,3998441
10/31/2023,21.02,21.0235,20.1685,21.0775,3712133
10/30/2023,22.11,21.0835,20.1255,21.1252,4075561
10/27/2023,23.69,20.967,20.2286,21.2275,4329881
10/26/2023,24.3,20.7845,19.9486,21.2344,5510576
10/25/2023,23.17,20.571,19.1654,21.1809,4750748
10/24/2023,20.93,20.4625,19.3505,21.3757,3730429
10/23/2023,22.28,20.4775,18.9325,21.3968,4364730
10/20/2023,23.34,20.34,18.6699,21.3962,4889576
10/19/2023,22.11,20.17,18.6378,21.5897,4744971
10/18/2023,21.14,20.06,19.2198,21.7494,4726946
10/17/2023,19.39,19.9005,18.7416,21.956,4001403
10/16/2023,18.75,19.7715,18.578,22.2268,3737938
10/13/2023,20.59,19.662,18.5555,22.196,4825929
10/12/2023,18.56,19.463,18.4424,22.2132,4547717
10/11/2023,18.34,19.291,18.4499,22.2419,3974284
10/10/2023,18.95,19.1775,18.4622,22.422,4222471
10/9/2023,19.62,19.073,18.2378,22.3991,3377152
10/6/2023,19.99,18.8995,16.3019,22.3824,5559881
10/5/2023,21.2,18.758,16.686,22.5011,4004250
10/4/2023,20.99,18.576,16.472,22.5486,4212992
10/3/2023,22.22,18.3865,15.8991,22.5555,4383468
10/2/2023,19.78,18.1155,15.9821,22.6493,3982699
9/29/2023,20.04,17.965,15.3455,22.7003,4745829
9/28/2023,20.03,17.81,14.8883,22.7871,3918100
9/27/2023,21,17.664,16.2791,22.8065,4406222
9/26/2023,21.23,17.488,16.095,22.8324,4058092
9/25/2023,19.53,17.346,16.2005,22.8365,3428560
9/22/2023,19.94,17.3405,19.1711,22.9282,4092877
9/21/2023,19.91,17.386,19.0784,22.918,4388769
9/20/2023,17.95,17.373,18.3809,22.9298,3157989
9/19/2023,16.81,17.4815,18.6652,22.9679,3486538
9/18/2023,16.56,17.6275,19.0371,22.9981,2907644
9/15/2023,16.61,17.83,19.1975,22.9663,4549518
9/14/2023,15.12,18.0425,19.4955,23.2474,3598419
9/13/2023,16.07,18.2875,19.6192,23.2531,3612668
9/12/2023,16.86,18.4525,20.0567,23.2929,3380778
9/11/2023,16.15,18.5175,20.0176,23.3268,3237096
9/8/2023,17.16,18.6665,20.5957,23.3855,3110236
9/7/2023,17.56,18.7765,20.3771,23.3681,3592551
9/6/2023,17.2,18.8925,20.5291,23.5037,3372719
9/5/2023,16.8,18.9845,20.5659,23.572,2848546
9/1/2023,16.77,19.0645,20.7038,23.5973,3103260
8/31/2023,16.94,19.2105,20.8858,23.652,3253878
8/30/2023,17.11,19.3515,21.5,23.6666,3936173
8/29/2023,17.48,19.458,20.2989,23.8644,4467880
8/28/2023,18.39,19.4445,20.1547,23.8851,3452563
8/25/2023,19.42,19.3655,20.3904,23.8788,4783145
8/24/2023,20.85,19.232,18.3846,23.6395,4758395
8/23/2023,19.65,19.0635,18.0136,23.6906,3610376
8/22/2023,20.12,18.9215,17.8855,23.713,3364167
8/21/2023,19.73,18.7875,17.4992,23.6928,3845271
8/18/2023,20.61,18.664,17.3225,23.6929,4505648
8/17/2023,20.86,18.4955,17.518,23.6631,4417591
8/16/2023,20.02,18.341,17.3284,23.6627,4281677
8/15/2023,19.37,18.218,17.4964,23.6934,3548708
8/14/2023,18.16,18.105,16.935,23.6971,3238302
8/11/2023,19.13,18.05,16.9531,23.8212,3910073
8/10/2023,19.36,17.975,16.6303,23.7896,4442984
8/9/2023,19.88,17.895,16.7011,23.807,4182013
8/8/2023,19.04,17.7705,16.4173,23.8564,3360681
8/7/2023,18.4,17.745,16.4861,23.8556,3066083
8/4/2023,19.69,17.754,16.2301,23.9288,4083351
8/3/2023,19.76,17.695,16.4028,23.9612,3255889
8/2/2023,19.24,17.6445,15.6462,23.9556,4752746
8/1/2023,17.21,17.5665,15.5419,23.9855,2848663
7/31/2023,16.81,17.5915,15.9785,24.0079,2952095
7/28/2023,16.75,17.646,15.4066,24.1848,4154176
7/27/2023,17.48,17.7235,14.0888,24.1431,4665707
7/26/2023,16.81,17.7575,14.6439,24.1462,2693880
7/25/2023,17.44,17.8165,15.1321,24.1865,2489441
