Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
12/1/2023,10.82,11.51,10.9898,14.6331,8330622
11/30/2023,10.7,11.6535,11.3107,14.6387,7666927
11/29/2023,10.72,11.8695,11.2081,14.6682,7663598
11/28/2023,10.21,12.1385,11.5656,14.6663,6742061
11/27/2023,10.18,12.4955,11.9775,14.677,5676616
11/24/2023,10.21,12.941,12.4067,14.7065,3022584
11/22/2023,10.58,13.3655,12.8466,14.7064,6868883
11/21/2023,10.93,13.741,13.0179,14.7414,5402153
11/20/2023,10.89,14.0225,13.265,14.7923,7268496
11/17/2023,11.42,14.36,13.8243,14.7986,6487247
11/16/2023,11.43,14.705,14.2812,14.9294,7033283
11/15/2023,11.63,15.015,14.5943,14.9342,8224099
11/14/2023,11.65,15.255,14.0888,14.8711,10102193
11/13/2023,12.54,15.4125,14.2239,15.004,6988634
11/10/2023,12.19,15.5,14.048,15.0452,9230430
11/9/2023,13.36,15.6935,13.899,15.0496,8293517
11/8/2023,12.38,15.736,13.8297,15.0565,7497801
11/7/2023,12.65,15.805,13.9655,15.1893,7590133
11/6/2023,12.65,15.893,14.4598,15.231,7409399
11/3/2023,13.06,16.0165,15.4958,15.3668,9510252
11/2/2023,13.69,16.139,14.99,15.3829,8715227
11/1/2023,15.02,16.263,14.8647,15.3759,8488578
10/31/2023,16.1,16.322,15.143,15.5212,7766540
10/30/2023,17.35,16.3875,14.9978,15.5266,9445829
10/27/2023,19.09,16.2925,15.1513,15.5346,10491752
10/26/2023,18.7,16.1125,15.037,15.5783,11168967
10/25/2023,18.09,15.9315,15.0255,15.5731,9898569
10/24/2023,16.56,15.824,15.2864,15.7221,8152666
10/23/2023,17.64,15.81,15.0706,15.7192,9609936
10/20/2023,18.32,15.646,14.6854,15.7091,11017726
10/19/2023,17.63,15.4745,14.7975,15.85,10860708
10/18/2023,16.43,15.333,15.015,15.9666,10266072
10/17/2023,14.8,15.1525,14.6945,16.1197,9076786
