,Heading,Article,Date
0,Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters,Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.,2022-09-23
1,"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video","He was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation, according to the U.S. attorney's office in Los Angeles.",2022-09-23
2,Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer,Amy Cooper accused investment firm Franklin Templeton of unfairly firing her and branding her a racist after video of the Central Park encounter went viral.,2022-09-22
3,Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police,"The 63-year-old woman was seen working at the South Carolina store on Thursday. She was found dead Monday after her family reported her missing, authorities said.",2022-09-22
4,Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV,"""Who's that behind you?"" an anchor for New York’s PIX11 asked journalist Michelle Ross as she finished up an interview.",2022-09-22
5,Virginia Thomas Agrees To Interview With Jan. 6 Panel,"Conservative activist Virginia Thomas, the wife of Supreme Court Justice Clarence Thomas, has agreed to participate in a voluntary interview with the House panel investigating the Jan. 6 insurrection.",2022-09-21
6,One Dead After Plane Crashes At Reno Air Race,"The single-engine plane was participating in the National Championship Air Races on Sunday when it crashed into a field, killing the pilot, officials said.",2022-09-19
7,Family Of American Held In Afghanistan Says He Was Freed By Taliban In Prisoner Swap,"Mark Frerichs, a Navy veteran and civilian contractor, was kidnapped in Afghanistan in January 2020.",2022-09-19
8,Watchdog Report Finds Some Census Takers Who Fudged 2020 Data Didn’t Get Fired,"Despite entering false information, their work wasn't redone fully and in some cases the census takers received bonuses, the Office of Inspector General reported.",2022-09-18
9,Alabama Sidesteps Compensation For Survivor Of '63 KKK Blast,Sarah Collins Rudolph lost an eye and has pieces of glass inside her body from a Ku Klux Klan bombing that killed her sister and three other Black girls inside an Alabama church 59 years ago.,2022-09-16
10,Racism Seen As Root Of Water Crisis In Mississippi Capital,"A boil-water advisory has been lifted for Mississippi's capital, and the state will stop handing out free bottled water on Saturday.",2022-09-16
11,Chick-Fil-A Worker Saves Woman With Baby From Being Carjacked,"Mykel Gordon rushed to the woman's aid and held down her assailant until police arrived. Remarkably, this wasn't the first time Gordon may have saved a life.",2022-09-15
12,"Possible Nationwide Rail Strike Is Already Impacting Travelers, Businesses","White House press secretary Karine Jean-Pierre said a rail shutdown is ""not acceptable"" and would harm families as well as businesses.",2022-09-14
13,U.S. Inflation Falls For 2nd Straight Month On Lower Gas Costs,"On a monthly basis, prices rose 0.1%, after a flat reading in July.",2022-09-13
14,Thousands Of Minnesota Nurses Launch 3-day Strike Over Pay,They're pressing for salary increases they say will help improve patient care by resolving understaffing stresses that have worsened in the pandemic.,2022-09-13
15,"Weather Helping, But Threat From Western Fires Persists",Firefighters made progress against a huge Northern California wildfire that was still growing and threatening thousands of mountain homes.,2022-09-11
16,9/11 Attacks Still Reverberate As U.S. Marks 21st Anniversary,September 11th remains a point for reflection on the 2001 attacks that reconfigured national security policy and spurred a U.S. “war on terror” worldwide.,2022-09-11
17,Payment Processor Visa To Start Categorizing Sales At Gun Stores,"Visa’s adoption is significant as the largest payment network, and will likely add pressure for Mastercard and American Express to adopt the code as well.",2022-09-10
18,"Power Outage At Austin Airport Leads To Flight Delays, Traffic Jams","Airport officials in Austin, Texas, say an early morning power outage is causing flight delays even as electricity has been restored.",2022-09-07
19,Fast-Moving Fairview Fire Kills At Least 2 In California,A second fire killed two people in Northern California this weekend.,2022-09-06
20,Mississippi Governor Says Water Pressure Is Now 'Solid' In Jackson,"The city remains under a boil water notice, which first went into effect on July 30.",2022-09-06
