,Heading,Article,Date,Subjectivity,Polarity,Content Subjectivity,Content Polarity
0,Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage,More than half a million people remained without water service three days after the storm lashed the U.S. territory.,2022-09-22,1.0,-0.6,0.3333333333333333,0.16666666666666669
1,Biden At UN To Call Russian War An Affront To Body's Charter,White House officials say the crux of the president's visit to the U.N. this year will be a full-throated condemnation of Russia and its brutal war.,2022-09-21,0.0,0.0,0.5,-0.4375
2,World Cup Captains Want To Wear Rainbow Armbands In Qatar,FIFA has come under pressure from several European soccer federations who want to support a human rights campaign against discrimination at the World Cup.,2022-09-21,0.0,0.0,0.03333333333333333,0.0
3,Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe,"The incident underscores a growing wave of protests against the funeral for Shinzo Abe, who was one of the most divisive leaders in postwar Japanese politics.",2022-09-21,0.35,0.05,0.25,0.25
4,Fiona Threatens To Become Category 4 Storm Headed To Bermuda,Hurricane Fiona lashed the Turks and Caicos Islands and was forecast to squeeze past Bermuda later this week.,2022-09-21,0.0,0.0,0.125,-0.125
5,Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80,"Polyakov's record-breaking trip to outer space saw him orbit Earth 7,075 times and travel nearly 187 million miles.",2022-09-20,0.0,0.0,0.4,0.1
6,4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia,The concerted and quickening Kremlin-backed efforts to swallow up four regions could set the stage for Moscow to escalate the war.,2022-09-20,0.0,0.0,0.0,0.0
7,Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane,The Turks and Caicos Islands government imposed a curfew as the intensifying storm kept dropping copious rain over the Dominican Republic and Puerto Rico.,2022-09-20,0.0,0.0,0.0,0.0
8,Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico,"The storm knocked out the power grid and unleashed floods and landslides in Puerto Rico, where the governor said the damage was “catastrophic.”",2022-09-19,0.2888888888888889,-0.15555555555555559,0.0,0.0
9,World Leaders Pay Respects To Queen Elizabeth II,President Joe Biden and first lady Jill Biden were among thousands of mourners — from locals and tourists to royals and world leaders — to pay their respects.,2022-09-18,0.0,0.0,0.3333333333333333,0.25
10,Man Charged With Exposing Himself To Mourners Waiting To View Queen Elizabeth,The 19-year-old reportedly fled into the Thames in a failed bid to escape police.,2022-09-17,0.0,0.0,0.3,-0.5
11,WHO Raises Alarm On Disease In Flood-hit Areas Of Pakistan,"The World Health Organization is raising the alarm about a “second disaster” in the wake of the deadly floods in Pakistan this summer, as doctors and medical workers on the ground race to battle outbreaks of waterborne and other diseases.",2022-09-17,0.0,0.0,0.19375,-0.08125
12,"Bill Richardson Visits Moscow As Brittney Griner, Paul Whelan Remain Jailed","Richardson, the former U.S. ambassador to the United Nations and a frequent emissary in hostage negotiations, held meetings with Russian leaders.",2022-09-14,0.0,0.0,0.09999999999999999,0.03333333333333333
13,Last Reactor At Ukraine's Zaporizhzhia Nuclear Plant Stopped,"The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.",2022-09-11,0.06666666666666667,0.0,0.3,0.06666666666666667
14,Russia Says It's Pulling Back Forces From Ukraine's Kharkiv Region,Russia’s Defense Ministry announced that troops will be pulled back in two area where a Ukrainian counter offensive has made significant advances.,2022-09-10,0.0,0.0,0.4375,0.1875
15,Ukraine Claws Back Some Territory; Nuclear Plant In Peril,Ukrainian forces are claiming new success in their counteroffensive against Russian forces in the east.,2022-09-10,0.0,0.0,0.15151515151515152,0.14545454545454545
16,'Our Hearts Are Broken': Historic Front Pages Mark The Queen's Death,Both British and international newspapers honor the passing of the U.K'.s longest-reigning monarch.,2022-09-09,0.2,-0.2,0.0,0.0
17,UN Chief Asks World For 'Massive' Help In Flood-Hit Pakistan,"Speaking from Islamabad, Antonio Guterres said countries bearing more responsibility for climate change ""should have faced this challenge.""",2022-09-09,1.0,0.0,0.5,0.5
18,At Least 32 Dead In Fire At Karaoke Parlor In South Vietnam,The fire in Thuan An city began late Tuesday and trapped both workers and customers inside the multi-story venue.,2022-09-08,0.4,-0.25,0.3,-0.25
19,"Shelling Goes On Near Ukraine Nuclear Plant, Despite Risks","The head of the International Atomic Energy Agency warned the U.N. Security Council  that “something very, very catastrophic could take place” at Zaporizhzhia.",2022-09-07,0.4,0.1,0.195,0.13
20,"U.S.: Russia To Buy Rockets, Artillery Shells From North Korea",The finding comes after the Biden administration confirmed that the Russian military in August took delivery of Iranian-manufactured drones for use in Ukraine.,2022-09-06,0.0,0.0,0.3666666666666667,0.10000000000000002
21,Pakistan's Largest Natural Lake Is Rising To Dangerous Levels Due To Monsoon,"Authorities warn that more flooding is expected as Lake Manchar swells from unprecedented monsoon rains that have killed nearly 1,300 people.",2022-09-04,0.5583333333333333,-0.20833333333333334,0.44000000000000006,0.18
22,Putin Plans To Snub Gorbachev's Funeral,"The low-key funeral reflects the Kremlin’s uneasiness about the legacy of Gorbachev, who is despised by many at home for the collapse of the Soviet Union.",2022-09-02,0.0,0.0,0.5,0.5
23,"Pakistan Flooding Deaths Pass 1,000 In 'Climate Catastrophe'","Pakistani authorities reported the casualties since the monsoon season began earlier than normal this year, destroying nearly 300,000 homes.",2022-08-28,0.0,0.0,0.38749999999999996,0.012499999999999997
24,"6 Missing College Students In Mexico Were Held In Warehouse, Killed By Army","Six of 43 students kidnapped in 2014 were kept alive for days before being handed over to a local army commander who ordered them to be killed, according to a new report.",2022-08-27,0.025,-0.2,0.21363636363636362,0.009090909090909087
25,"6 Months Into War, Russian Goods Still Flowing To U.S.",American companies — including federal contractors — continue to buy everything from birch wood flooring to weapons-grade titanium from Russian corporations.,2022-08-25,0.0,0.0,0.0,0.0
26,Japan’s National Police Chief To Resign Over Shinzo Abe Assassination,National Police Agency Chief Itaru Nakamura's announcement came as his agency released a report on how it failed to protect Abe's life on July 8.,2022-08-25,0.0,0.0,0.3,-0.5
27,UK Broadcaster To Air Satirical Musical On Prince Andrew,The 60-minute program described as a “satirical send-up of the life and times” of the duke set to a musical score.,2022-08-22,0.0,0.0,0.0,0.0
28,"Ukraine: 9,000 Of Its Troops Killed Since Russia Began War",The Russian invasion of Ukraine began on Feb. 24.,2022-08-22,0.0,-0.2,0.0,0.0
29,Police File Terrorism Charges Against Pakistan's Ex-Premier Imran Khan,The charges accuse Khan of threatening police officers and a judge under the country’s sedition act.,2022-08-22,0.0,0.0,0.0,0.0
30,"Trans Woman Can't Be Considered Parent Of Her Own Child, Rules Tokyo Court",The court said the woman is the legal parent of a daughter born before her transition but not one who was born afterward.,2022-08-20,1.0,0.6,0.2,0.2
31,State Dept. 'Studying' 34-Year Sentence Of Saudi Woman Over Twitter Use,Salma al-Shehab received the lengthy prison sentence for following accounts and retweeting posts critical of the Kingdom on Twitter.,2022-08-18,0.0,0.0,0.45,0.0
32,Syria Denies It Is Holding American Journalist Austin Tice,"President Joe Biden accused the Syrian government of detaining Austin Tice, who has been missing for 10 years.",2022-08-17,0.0,0.0,0.05,-0.2
33,New Law Makes Period Products Free For All In Scotland,"The Period Products Act says that schools, universities and government buildings must make tampons and pads available for free in bathrooms.",2022-08-16,0.6272727272727273,0.2681818181818182,0.6000000000000001,0.4
34,Afghanistan Marks One-Year Anniversary Since Taliban Takeover,Poverty is spiking and women's rights have been decimated.,2022-08-16,0.0,0.0,0.0,0.0
35,Iran Denies Involvement But Justifies Salman Rushdie Attack,"While Iran hasn’t focused on the writer in recent years, a decades-old fatwa demanding his killing still stands.",2022-08-15,0.0,0.0,0.25,0.0
36,Lawyers Appeal Brittney Griner's Russian Prison Sentence,Lawyers for the American basketball star said after Griner's conviction that the sentence was excessive.,2022-08-15,0.0,0.0,0.5,-0.125
37,Palestinian Gunman Wounds 8 In Late-Night Jerusalem Shooting,The attack in Jerusalem followed a tense week between Israel and Palestinians in Gaza and the West Bank.,2022-08-14,0.0,0.0,0.5,-0.3333333333333333
38,Officials: Fire At Coptic Church In Cairo Kills 41,It was one of the worst fire tragedies in Egypt in recent years.,2022-08-14,0.0,0.0,0.625,-0.5
39,"Salman Rushdie 'On The Road To Recovery,' Agent Says",The author's agent said he is “on the road to recovery” two days after suffering serious injuries in a stabbing at a lecture in upstate New York.,2022-08-14,0.0,0.0,0.6404040404040404,-0.26565656565656565
40,Stranded Whale Euthanized After Removal From French River,"A veterinarian said that during the rescue operation, the dangerously thin white mammal began to have breathing difficulties.",2022-08-10,0.0,0.0,0.42500000000000004,-0.2
41,"Over 120 Injured, Several Missing In Massive Cuban Oil Facility Fire",A dense black smoke cloud from the fire has spread about 62 miles west toward Havana.,2022-08-07,0.35000000000000003,-0.06666666666666667,0.43333333333333335,-0.16666666666666666
42,Giant Sinkhole Swallows Chilean Land Owned By Canadian Mining Company,The National Service of Geology and Mining first became aware of the 650-foot-deep sinkhole on Saturday.,2022-08-03,1.0,0.0,0.29166666666666663,0.25
43,Volcano Near Iceland’s Main Airport Erupts Again,The Icelandic Meteorological Office urged people not to go near the Fagradalsfjall volcano.,2022-08-03,0.3666666666666667,0.13333333333333333,0.4,0.1
44,Report: Prince Charles' Charity Got Donation From Bin Ladens,"The Prince of Wales’s Charitable Fund accepted a 1 million pound ($1.2 million) donation from relatives of Osama bin Laden, a newspaper reported.",2022-07-31,0.0,0.0,0.8,0.6
45,The Race To Replace Boris Johnson As Prime Minister Is Down To These 2 Candidates,"On Sept. 5, either Rishi Sunak or Liz Truss will be announced as the U.K.'s new prime minister.",2022-07-21,0.2888888888888889,-0.15555555555555559,0.45454545454545453,0.13636363636363635
46,At Least 15 Killed In South Africa Bar Shooting,Police say they are investigating reports that a group of men arrived in a minibus taxi and opened fire on some of the patrons at the bar shortly after midnight Sunday.,2022-07-10,0.2,-0.25,0.3,0.0
47,"Sri Lanka President, Prime Minister To Resign Amid Civil Unrest",President Gotabaya Rajapaksa has agreed to resign as of Wednesday.,2022-07-09,0.0,0.0,0.0,0.0
48,No One Gored In First Pamplona Running Of The Bulls In 3 Years,"Animal rights activists have campaigned against the slaughter of the animals, but bullfights are still a part of the San Fermín festival.",2022-07-07,0.3333333333333333,0.25,0.0,0.0
49,"UK Royals’ Spending Up 17%, Mostly For Palace Overhaul Costs","The most expensive official royal tour in the past year was the trip taken by Prince William and his wife, Kate Middleton, to the Caribbean in March.",2022-06-30,0.5,0.5,0.48333333333333334,-0.08333333333333333
